id,case_no,status,firs,summary_en,primary_crime_type,latest_date
CASE_236,202500001,Pending Trial,"[""FIR_236""]",Police intercepted the accused near Ring Road and recovered 8.9 kg of ganja from their possession.,Ganja Possession,2025-07-14
CASE_237,202400001,Under Investigation,"[""FIR_237""]","Unknown persons broke into the complainant's premises at Temple Street at night and decamped with valuables worth Rs 299,000.",Burglary,2024-08-20
CASE_238,202500002,Convicted,"[""FIR_238""]",The complainant stated that the accused has been following and contacting her repeatedly near Gandhi Nagar despite objection.,Stalking,2025-06-04
CASE_239,202400002,Charge Sheeted,"[""FIR_239""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 174,000.",Identity Theft,2024-04-21
CASE_240,202500001,Under Investigation,"[""FIR_240""]",The complainant was robbed of cash and a mobile phone by unidentified persons near APMC Yard at knife-point.,Robbery,2025-03-01
CASE_241,202600002,Under Investigation,"[""FIR_241""]","Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 59,000.",Burglary,2026-07-06
CASE_242,202400001,Under Investigation,"[""FIR_242""]","The complainant reported that the accused was driving a vehicle rashly near APMC Yard, endangering pedestrians.",Rash Driving,2024-05-14
CASE_243,202400001,Charge Sheeted,"[""FIR_243""]","Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 279,000.",Burglary,2024-12-06
CASE_244,202400004,Under Investigation,"[""FIR_244""]","A police patrol near Bus Stand Road intercepted a vehicle and recovered narcotic substances weighing 9.5 kg, suspected to be in transit for sale.",NDPS Trafficking,2024-07-22
CASE_245,202400001,Under Investigation,"[""FIR_245""]","The complainant's bank account was debited for Rs 361,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2024-06-01
CASE_246,202500002,Pending Trial,"[""FIR_246""]","The complainant paid an advance of Rs 90,000 to the accused for a family dispute which was never delivered as promised.",Cheating,2025-09-07
CASE_247,202400001,Charge Sheeted,"[""FIR_247""]",The victim Nagaraj died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by his neighbour.,Dowry Death,2024-09-16
CASE_248,202500001,Charge Sheeted,"[""FIR_248""]",The victim sustained grievous injuries after being attacked with a iron rod by her husband near APMC Yard over unpaid loan.,Grievous Hurt,2025-09-23
CASE_249,202600001,Convicted,"[""FIR_249""]","The complainant's bank account was debited for Rs 267,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2026-03-30
CASE_250,202400002,Under Investigation,"[""FIR_250""]",The complainant stated that the accused has been following and contacting her repeatedly near College Road despite objection.,Stalking,2024-09-21
CASE_251,202500006,Closed (False Case),"[""FIR_251""]",The victim Kavya was fatally attacked with a wooden stick by the accused near Ring Road. The motive is suspected to be a financial transaction.,Murder,2025-08-27
CASE_252,202500003,Charge Sheeted,"[""FIR_252""]","The complainant, belonging to a Scheduled Caste, alleged physical assault and caste-based abuse by her in-laws near College Road.",Atrocity - Physical Assault,2025-08-16
CASE_253,202500001,Under Investigation,"[""FIR_253""]",Police intercepted the accused near Gandhi Nagar and recovered 3.7 kg of ganja from their possession.,Ganja Possession,2025-02-26
CASE_254,202500002,Under Investigation,"[""FIR_254""]","Unknown persons broke into the complainant's premises at Industrial Layout at night and decamped with valuables worth Rs 232,000.",Burglary,2025-10-28
CASE_255,202400001,Acquitted,"[""FIR_255""]","A group of armed persons robbed the complainant's shop at Church Street, decamping with cash and goods worth Rs 50,000.",Dacoity,2024-07-03
CASE_256,202600001,Abated,"[""FIR_256""]",The complainant was robbed of cash and a mobile phone by unidentified persons near New Extension at knife-point.,Robbery,2026-03-30
CASE_257,202400003,Abated,"[""FIR_257""]",The complainant reported that the accused outraged her modesty near Temple Street.,Outraging Modesty,2024-07-22
CASE_258,202600003,Under Investigation,"[""FIR_258""]",The complainant reported that his neighbour made unwelcome advances and passed lewd remarks towards her near Main Bazaar.,Sexual Harassment,2026-06-11
CASE_259,202600001,Under Investigation,"[""FIR_259""]",The victim sustained grievous injuries after being attacked with a iron rod by a known acquaintance near Market area over unpaid loan.,Grievous Hurt,2026-03-19
CASE_260,202500001,Charge Sheeted,"[""FIR_260""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2025-09-28
CASE_261,202500001,Under Investigation,"[""FIR_261""]",The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Station Road.,Sexual Harassment,2025-05-21
CASE_262,202500001,Charge Sheeted,"[""FIR_262""]",The accused was apprehended near Station Road while allegedly peddling narcotic substances to local youth.,Drug Peddling,2025-10-11
CASE_263,202500002,Pending Trial,"[""FIR_263""]","The complainant stated that his neighbour assaulted them near Gandhi Nagar following an argument over an extramarital affair suspicion, causing hurt.",Assault,2025-12-21
CASE_264,202500002,Convicted,"[""FIR_264""]","The complainant, a woman walking near College Road, reported that two men on a motorcycle snatched her gold chain and sped away towards Railway Station Road.",Chain Snatching,2025-01-18
CASE_265,202400002,Under Investigation,"[""FIR_265""]","The complainant stated that a former business partner assaulted them near Bus Stand Road following an argument over an extramarital affair suspicion, causing hurt.",Assault,2024-08-17
CASE_266,202500005,Referred to Another PS,"[""FIR_266""]",The complainant alleged being threatened with dire consequences by a former business partner over a dispute regarding an extramarital affair suspicion.,Criminal Intimidation,2025-04-24
CASE_267,202400001,Charge Sheeted,"[""FIR_267""]",The complainant reported that a known acquaintance made unwelcome advances and passed lewd remarks towards her near MG Road.,Sexual Harassment,2024-11-11
CASE_268,202500001,Under Investigation,"[""FIR_268""]","A police patrol near Bus Stand Road intercepted a vehicle and recovered narcotic substances weighing 1.4 kg, suspected to be in transit for sale.",NDPS Trafficking,2025-01-12
CASE_269,202400002,Charge Sheeted,"[""FIR_269""]","The complainant paid an advance of Rs 319,000 to the accused for unpaid loan which was never delivered as promised.",Cheating,2024-07-14
CASE_270,202600002,Charge Sheeted,"[""FIR_270""]",The complainant reported an incident related to crimes related to documents/property occurring near Ring Road. Investigation is underway to ascertain further facts.,Land Fraud,2026-02-15
CASE_271,202500002,Under Investigation,"[""FIR_271""]","The complainant clicked a fraudulent link received via SMS and lost Rs 145,000 from their bank account.",Phishing,2025-08-13
CASE_272,202400002,Charge Sheeted,"[""FIR_272""]","The complainant reported that Anitha was found dead with injuries near Bus Stand Road, allegedly assaulted by her husband following a dispute over past enmity.",Murder,2024-01-10
CASE_273,202600002,Pending Trial,"[""FIR_273""]",The victim was hit by an unidentified vehicle near Bus Stand Road and sustained injuries; the driver fled the scene.,Hit and Run,2026-04-25
CASE_274,202400002,Charge Sheeted,"[""FIR_274""]","The complainant's bank account was debited for Rs 238,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2024-05-27
CASE_275,202600003,Under Investigation,"[""FIR_275""]",The complainant reported an incident related to crimes against children occurring near MG Road. Investigation is underway to ascertain further facts.,Child Labour,2026-05-02
CASE_276,202400003,Under Investigation,"[""FIR_276""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 179,000.",Identity Theft,2024-11-19
CASE_277,202500001,Under Investigation,"[""FIR_277""]",Police intercepted the accused near MG Road and recovered 5.9 kg of ganja from their possession.,Ganja Possession,2025-09-26
CASE_278,202500002,Closed (Undetected),"[""FIR_278""]","The complainant reported that Manoj was found dead with injuries near Industrial Layout, allegedly assaulted by her husband following a dispute over a family dispute.",Murder,2025-01-03
CASE_279,202400002,Charge Sheeted,"[""FIR_279""]","The victim was attacked with a corrosive substance by the accused near Industrial Layout, sustaining burn injuries.",Acid Attack,2024-11-20
CASE_280,202400002,Pending Trial,"[""FIR_280""]",The complainant stated that the accused has been following and contacting her repeatedly near Temple Street despite objection.,Stalking,2024-06-07
CASE_281,202400001,Charge Sheeted,"[""FIR_281""]",The accused was apprehended near Main Bazaar while allegedly peddling narcotic substances to local youth.,Drug Peddling,2024-08-03
CASE_282,202600001,Pending Trial,"[""FIR_282""]",The complainant reported that the accused forged signatures on documents related to an extramarital affair suspicion to gain wrongful benefit.,Forgery,2026-05-19
CASE_283,202400002,Under Investigation,"[""FIR_283""]","A group of armed persons robbed the complainant's shop at Ring Road, decamping with cash and goods worth Rs 17,000.",Dacoity,2024-06-07
CASE_284,202400001,Charge Sheeted,"[""FIR_284""]","The complainant's bank account was debited for Rs 134,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2024-04-10
CASE_285,202400004,Under Investigation,"[""FIR_285""]","A group of armed persons robbed the complainant's shop at College Road, decamping with cash and goods worth Rs 127,000.",Dacoity,2024-03-13
CASE_286,202600001,Convicted,"[""FIR_286""]","The complainant clicked a fraudulent link received via SMS and lost Rs 306,000 from their bank account.",Phishing,2026-04-05
CASE_287,202500001,Charge Sheeted,"[""FIR_287""]",Police intercepted the accused near College Road and recovered 3.9 kg of ganja from their possession.,Ganja Possession,2025-12-28
CASE_288,202600001,Charge Sheeted,"[""FIR_288""]","A group gathered near College Road in violation of prohibitory orders, leading to a law and order situation.",Unlawful Assembly,2026-05-09
CASE_289,202500001,Under Investigation,"[""FIR_289""]",The complainant reported an incident related to crimes related to documents/property occurring near College Road. Investigation is underway to ascertain further facts.,Land Fraud,2025-03-08
CASE_290,202400001,Charge Sheeted,"[""FIR_290""]",The victim sustained grievous injuries after being attacked with a knife by her in-laws near Temple Street over unpaid loan.,Grievous Hurt,2024-06-06
CASE_291,202500001,Under Investigation,"[""FIR_291""]","The complainant's mobile phone was stolen from outside their residence at Market area, valued at approximately Rs 308,000.",Theft,2025-07-02
CASE_292,202400003,Pending Trial,"[""FIR_292""]","The complainant reported that Kavya died following an altercation with his neighbour near Railway Station Road, suspected to involve a financial transaction.",Culpable Homicide,2024-04-30
CASE_293,202400001,Under Investigation,"[""FIR_293""]",The complainant reported an incident related to crimes against scs/sts occurring near APMC Yard. Investigation is underway to ascertain further facts.,Atrocity - Social Boycott,2024-08-18
CASE_294,202500003,Charge Sheeted,"[""FIR_294""]","A group of armed persons robbed the complainant's shop at Church Street, decamping with cash and goods worth Rs 135,000.",Dacoity,2025-04-06
CASE_295,202500006,Under Investigation,"[""FIR_295""]",The complainant reported that the accused outraged her modesty near Church Street.,Outraging Modesty,2025-09-22
CASE_296,202500001,Closed (Undetected),"[""FIR_296""]","The complainant reported that Lakshmi died following an altercation with an unidentified assailant near Station Road, suspected to involve a property dispute.",Culpable Homicide,2025-08-31
CASE_297,202500001,Closed (Undetected),"[""FIR_297""]","The complainant reported that Suresh died following an altercation with her husband near Bus Stand Road, suspected to involve a property dispute.",Culpable Homicide,2025-11-08
CASE_298,202400001,Charge Sheeted,"[""FIR_298""]","The complainant reported that unknown persons broke into their house at Gandhi Nagar and stole gold jewellery worth Rs 380,000 and cash. The incident occurred while the family was away.",Theft,2024-10-16
CASE_299,202400005,Closed (False Case),"[""FIR_299""]",The complainant stated that the accused has been following and contacting her repeatedly near College Road despite objection.,Stalking,2024-02-28
CASE_300,202500003,Under Investigation,"[""FIR_300""]","The complainant reported that Suresh died following an altercation with her husband near Bus Stand Road, suspected to involve land boundary issues.",Culpable Homicide,2025-12-16
CASE_301,202400001,Under Investigation,"[""FIR_301""]",The complainant reported an incident related to crimes against scs/sts occurring near Ring Road. Investigation is underway to ascertain further facts.,Atrocity - Social Boycott,2024-01-17
CASE_302,202600001,Convicted,"[""FIR_302""]",The complainant alleged repeated physical and mental harassment by her husband over dowry-related demands at their residence in College Road.,Domestic Violence,2026-01-08
CASE_303,202600001,Under Investigation,"[""FIR_303""]",The complainant reported an incident related to crimes related to documents/property occurring near APMC Yard. Investigation is underway to ascertain further facts.,Land Fraud,2026-05-29
CASE_304,202500003,Closed (False Case),"[""FIR_304""]","A group of armed persons robbed the complainant's shop at Railway Station Road, decamping with cash and goods worth Rs 418,000.",Dacoity,2025-12-30
CASE_305,202500005,Charge Sheeted,"[""FIR_305""]","The complainant alleged that the accused, entrusted with funds of Rs 58,000 for land boundary issues, misappropriated the amount.",Criminal Breach of Trust,2025-08-04
CASE_306,202600003,Charge Sheeted,"[""FIR_306""]",The complainant reported an incident related to other ipc crimes occurring near Railway Station Road. Investigation is underway to ascertain further facts.,Mischief,2026-02-23
CASE_307,202500001,Charge Sheeted,"[""FIR_307""]",The complainant reported that the accused forged signatures on documents related to a family dispute to gain wrongful benefit.,Forgery,2025-09-18
CASE_308,202500001,Charge Sheeted,"[""FIR_308""]","The complainant's bank account was debited for Rs 324,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2025-08-19
CASE_309,202400004,Convicted,"[""FIR_309""]",The complainant stated that the accused has been following and contacting her repeatedly near College Road despite objection.,Stalking,2024-05-21
CASE_310,202400002,Charge Sheeted,"[""FIR_310""]","The complainant reported that Lakshmi died following an altercation with a known acquaintance near Church Street, suspected to involve unpaid loan.",Culpable Homicide,2024-01-08
CASE_311,202600001,Under Investigation,"[""FIR_311""]","The victim was attacked with a corrosive substance by the accused near APMC Yard, sustaining burn injuries.",Acid Attack,2026-03-25
CASE_312,202600002,Charge Sheeted,"[""FIR_312""]",The complainant stated that the accused has been following and contacting her repeatedly near Station Road despite objection.,Stalking,2026-02-05
CASE_313,202500001,Under Investigation,"[""FIR_313""]",Police intercepted the accused near Church Street and recovered 4.6 kg of ganja from their possession.,Ganja Possession,2025-04-03
CASE_314,202500001,Under Investigation,"[""FIR_314""]",The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Market area.,Sexual Harassment,2025-04-05
CASE_315,202500004,Closed (Undetected),"[""FIR_315""]","The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 80,000 from the complainant's account.",Online Fraud,2025-07-11
CASE_316,202500007,Closed (False Case),"[""FIR_316""]",The complainant reported an incident related to crimes related to documents/property occurring near Market area. Investigation is underway to ascertain further facts.,Land Fraud,2025-01-13
CASE_317,202400001,Under Investigation,"[""FIR_317""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2024-08-07
CASE_318,202600001,Charge Sheeted,"[""FIR_318""]","The complainant paid an advance of Rs 160,000 to the accused for a business partnership which was never delivered as promised.",Cheating,2026-05-19
CASE_319,202500001,Charge Sheeted,"[""FIR_319""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 124,000.",Identity Theft,2025-03-25
CASE_320,202400001,Under Investigation,"[""FIR_320""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 267,000.",Identity Theft,2024-07-18
CASE_321,202400001,Closed (False Case),"[""FIR_321""]","The complainant's bank account was debited for Rs 83,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2024-08-09
CASE_322,202500003,Charge Sheeted,"[""FIR_322""]","The complainant, a woman walking near Ring Road, reported that two men on a motorcycle snatched her gold chain and sped away towards New Extension.",Chain Snatching,2025-08-25
CASE_323,202500002,Pending Trial,"[""FIR_323""]","A group of armed persons robbed the complainant's shop at Gandhi Nagar, decamping with cash and goods worth Rs 124,000.",Dacoity,2025-05-04
CASE_324,202500002,Under Investigation,"[""FIR_324""]",Police recovered an unlicensed firearm from the accused during a routine check near Main Bazaar.,Illegal Firearm Possession,2025-02-16
CASE_325,202500001,Closed (Undetected),"[""FIR_325""]","The complainant, a woman walking near Temple Street, reported that two men on a motorcycle snatched her gold chain and sped away towards Railway Station Road.",Chain Snatching,2025-11-07
CASE_326,202400001,Closed (Undetected),"[""FIR_326""]","Unknown persons broke into the complainant's premises at Station Road at night and decamped with valuables worth Rs 123,000.",Burglary,2024-06-09
CASE_327,202400004,Convicted,"[""FIR_327""]","A police patrol near Bus Stand Road intercepted a vehicle and recovered narcotic substances weighing 11.3 kg, suspected to be in transit for sale.",NDPS Trafficking,2024-02-07
CASE_328,202500007,Pending Trial,"[""FIR_328""]","A group of armed persons robbed the complainant's shop at Ring Road, decamping with cash and goods worth Rs 278,000.",Dacoity,2025-12-23
CASE_329,202500002,Pending Trial,"[""FIR_329""]",The complainant reported that their car parked near Old Town was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-11-20
CASE_330,202500001,Under Investigation,"[""FIR_330""]",The complainant reported that the minor victim was subjected to abuse by a former business partner at Main Bazaar.,Child Abuse,2025-05-08
CASE_331,202500002,Pending Trial,"[""FIR_331""]",The complainant reported an incident related to crimes against children occurring near Railway Station Road. Investigation is underway to ascertain further facts.,Child Labour,2025-10-21
CASE_332,202400008,Under Investigation,"[""FIR_332""]",The complainant alleged repeated physical and mental harassment by her husband over dowry-related demands at their residence in Ring Road.,Domestic Violence,2024-07-29
CASE_333,202600003,Under Investigation,"[""FIR_333""]",The accused was apprehended near Railway Station Road while allegedly peddling narcotic substances to local youth.,Drug Peddling,2026-01-20
CASE_334,202400001,Closed (Undetected),"[""FIR_334""]",The complainant reported that the accused forged signatures on documents related to a business partnership to gain wrongful benefit.,Forgery,2024-06-10
CASE_335,202400001,Convicted,"[""FIR_335""]","A group of armed persons robbed the complainant's shop at Temple Street, decamping with cash and goods worth Rs 291,000.",Dacoity,2024-12-10
CASE_336,202400002,Abated,"[""FIR_336""]",The complainant reported an incident related to crimes against children occurring near Gandhi Nagar. Investigation is underway to ascertain further facts.,Child Labour,2024-02-04
CASE_337,202500001,Pending Trial,"[""FIR_337""]",The victim Ramesh was fatally attacked with a knife by the accused near College Road. The motive is suspected to be a financial transaction.,Murder,2025-11-01
CASE_338,202500001,Charge Sheeted,"[""FIR_338""]","The complainant alleged that the accused, entrusted with funds of Rs 17,000 for a family dispute, misappropriated the amount.",Criminal Breach of Trust,2025-07-17
CASE_339,202600001,Pending Trial,"[""FIR_339""]","The complainant clicked a fraudulent link received via SMS and lost Rs 390,000 from their bank account.",Phishing,2026-05-11
CASE_340,202400005,Referred to Another PS,"[""FIR_340""]",The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.,Hit and Run,2024-02-26
CASE_341,202500002,Pending Trial,"[""FIR_341""]",The complainant was robbed of cash and a mobile phone by unidentified persons near Bus Stand Road at knife-point.,Robbery,2025-12-01
CASE_342,202500008,Pending Trial,"[""FIR_342""]",The complainant alleged repeated physical and mental harassment by a known acquaintance over dowry-related demands at their residence in Market area.,Domestic Violence,2025-04-27
CASE_343,202500001,Pending Trial,"[""FIR_343""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2025-10-09
CASE_344,202500002,Charge Sheeted,"[""FIR_344""]","The complainant's mobile phone was stolen from outside their residence at Bus Stand Road, valued at approximately Rs 121,000.",Theft,2025-08-20
CASE_345,202500005,Charge Sheeted,"[""FIR_345""]","The complainant, a woman walking near Gandhi Nagar, reported that two men on a motorcycle snatched her gold chain and sped away towards Ring Road.",Chain Snatching,2025-03-06
CASE_346,202600001,Charge Sheeted,"[""FIR_346""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 288,000.",Identity Theft,2026-02-18
CASE_347,202500001,Charge Sheeted,"[""FIR_347""]",The victim sustained grievous injuries after being attacked with a knife by her in-laws near Church Street over a property dispute.,Grievous Hurt,2025-11-22
CASE_348,202400003,Charge Sheeted,"[""FIR_348""]",The complainant reported an incident related to other ipc crimes occurring near New Extension. Investigation is underway to ascertain further facts.,Mischief,2024-01-16
CASE_349,202400005,Convicted,"[""FIR_349""]","The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 219,000 from the complainant's account.",Online Fraud,2024-10-03
CASE_350,202500001,Pending Trial,"[""FIR_350""]","The complainant, a woman walking near Ring Road, reported that two men on a motorcycle snatched her gold chain and sped away towards College Road.",Chain Snatching,2025-04-29
CASE_351,202600001,Under Investigation,"[""FIR_351""]","The complainant's laptop was stolen from outside their residence at Railway Station Road, valued at approximately Rs 53,000.",Theft,2026-06-05
CASE_352,202500003,Charge Sheeted,"[""FIR_352""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2025-12-31
CASE_353,202500002,Under Investigation,"[""FIR_353""]",The victim was hit by an unidentified vehicle near APMC Yard and sustained injuries; the driver fled the scene.,Hit and Run,2025-07-31
CASE_354,202600001,Closed (False Case),"[""FIR_354""]","A group of armed persons robbed the complainant's shop at Bus Stand Road, decamping with cash and goods worth Rs 430,000.",Dacoity,2026-07-03
CASE_355,202500006,Acquitted,"[""FIR_355""]",The accused attacked Ramesh with a wooden stick near Bus Stand Road following a quarrel over unpaid loan. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2025-03-01
CASE_356,202600002,Under Investigation,"[""FIR_356""]",The complainant was robbed of cash and a mobile phone by unidentified persons near Bus Stand Road at knife-point.,Robbery,2026-03-25
CASE_357,202600001,Compromised,"[""FIR_357""]",The accused attacked Ramesh with a knife near APMC Yard following a quarrel over a property dispute. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2026-03-07
CASE_358,202600001,Referred to Another PS,"[""FIR_358""]","The complainant reported that Anitha died following an altercation with a former business partner near MG Road, suspected to involve a business partnership.",Culpable Homicide,2026-06-02
CASE_359,202400001,Charge Sheeted,"[""FIR_359""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2024-07-02
CASE_360,202500002,Pending Trial,"[""FIR_360""]","A police patrol near Station Road intercepted a vehicle and recovered narcotic substances weighing 2.0 kg, suspected to be in transit for sale.",NDPS Trafficking,2025-03-13
CASE_361,202400006,Compromised,"[""FIR_361""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 93,000.",Identity Theft,2024-09-06
CASE_362,202400001,Under Investigation,"[""FIR_362""]","The complainant's bank account was debited for Rs 98,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2024-11-20
CASE_363,202400001,Pending Trial,"[""FIR_363""]","Unknown persons broke into the complainant's premises at New Extension at night and decamped with valuables worth Rs 29,000.",Burglary,2024-06-24
CASE_364,202600003,Under Investigation,"[""FIR_364""]",The complainant was robbed of cash and a mobile phone by unidentified persons near College Road at knife-point.,Robbery,2026-06-26
CASE_365,202500001,Abated,"[""FIR_365""]",The complainant stated that the accused has been following and contacting her repeatedly near Ring Road despite objection.,Stalking,2025-08-25
CASE_366,202500001,Charge Sheeted,"[""FIR_366""]",The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Church Street.,Sexual Harassment,2025-02-06
CASE_367,202400001,Under Investigation,"[""FIR_367""]",The complainant was robbed of cash and a mobile phone by unidentified persons near Temple Street at knife-point.,Robbery,2024-01-22
CASE_368,202400001,Abated,"[""FIR_368""]","The complainant reported that the accused was driving a vehicle rashly near Industrial Layout, endangering pedestrians.",Rash Driving,2024-08-14
CASE_369,202400002,Convicted,"[""FIR_369""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2024-01-20
CASE_370,202600001,Under Investigation,"[""FIR_370""]","A group gathered near New Extension in violation of prohibitory orders, leading to a law and order situation.",Unlawful Assembly,2026-04-07
CASE_371,202500001,Pending Trial,"[""FIR_371""]","A police patrol near Railway Station Road intercepted a vehicle and recovered narcotic substances weighing 7.6 kg, suspected to be in transit for sale.",NDPS Trafficking,2025-10-06
CASE_372,202500002,Pending Trial,"[""FIR_372""]",The complainant reported that their car parked near Industrial Layout was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-09-10
CASE_373,202500002,Under Investigation,"[""FIR_373""]",The complainant reported that the minor victim was subjected to abuse by a former business partner at Old Town.,Child Abuse,2025-10-14
CASE_374,202400007,Pending Trial,"[""FIR_374""]","A group of armed persons robbed the complainant's shop at Industrial Layout, decamping with cash and goods worth Rs 136,000.",Dacoity,2024-04-07
CASE_375,202600001,Charge Sheeted,"[""FIR_375""]",The complainant alleged being threatened with dire consequences by a known acquaintance over a dispute regarding past enmity.,Criminal Intimidation,2026-02-19
CASE_376,202400001,Closed (Undetected),"[""FIR_376""]",Police intercepted the accused near Gandhi Nagar and recovered 6.3 kg of ganja from their possession.,Ganja Possession,2024-06-20
CASE_377,202400001,Closed (Undetected),"[""FIR_377""]",The complainant reported an incident related to arms act offences occurring near College Road. Investigation is underway to ascertain further facts.,Illegal Arms Manufacturing,2024-09-30
CASE_378,202400002,Under Investigation,"[""FIR_378""]","The complainant alleged that the accused, entrusted with funds of Rs 216,000 for a business partnership, misappropriated the amount.",Criminal Breach of Trust,2024-05-04
CASE_379,202400001,Charge Sheeted,"[""FIR_379""]","The complainant stated that her in-laws assaulted them near Temple Street following an argument over a property dispute, causing hurt.",Assault,2024-12-22
CASE_380,202400003,Convicted,"[""FIR_380""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2024-02-22
CASE_381,202600004,Under Investigation,"[""FIR_381""]",The accused was apprehended near Railway Station Road while allegedly peddling narcotic substances to local youth.,Drug Peddling,2026-02-11
CASE_382,202400001,Under Investigation,"[""FIR_382""]",The complainant alleged being threatened with dire consequences by her in-laws over a dispute regarding unpaid loan.,Criminal Intimidation,2024-06-14
CASE_383,202600002,Under Investigation,"[""FIR_383""]",Police recovered an unlicensed firearm from the accused during a routine check near APMC Yard.,Illegal Firearm Possession,2026-02-28
CASE_384,202600005,Under Investigation,"[""FIR_384""]","Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 49,000.",Burglary,2026-03-14
CASE_385,202400003,Closed (Undetected),"[""FIR_385""]","The complainant, a woman walking near APMC Yard, reported that two men on a motorcycle snatched her gold chain and sped away towards Gandhi Nagar.",Chain Snatching,2024-08-06
CASE_386,202500001,Under Investigation,"[""FIR_386""]",The victim sustained grievous injuries after being attacked with a iron rod by a former business partner near Main Bazaar over a property dispute.,Grievous Hurt,2025-09-15
CASE_387,202500002,Closed (Undetected),"[""FIR_387""]","Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 366,000.",Burglary,2025-08-17
CASE_388,202400001,Charge Sheeted,"[""FIR_388""]","A police patrol near Railway Station Road intercepted a vehicle and recovered narcotic substances weighing 5.5 kg, suspected to be in transit for sale.",NDPS Trafficking,2024-08-05
CASE_389,202500001,Under Investigation,"[""FIR_389""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 283,000.",Identity Theft,2025-10-09
CASE_390,202500002,Under Investigation,"[""FIR_390""]",The accused was found driving under the influence of alcohol near Temple Street and was apprehended by a police patrol.,Drunken Driving,2025-01-27
CASE_391,202500003,Charge Sheeted,"[""FIR_391""]","The complainant alleged that the accused, entrusted with funds of Rs 107,000 for a business partnership, misappropriated the amount.",Criminal Breach of Trust,2025-11-09
CASE_392,202600001,Charge Sheeted,"[""FIR_392""]",The complainant alleged being threatened with dire consequences by a former business partner over a dispute regarding a family dispute.,Criminal Intimidation,2026-02-01
CASE_393,202600001,Under Investigation,"[""FIR_393""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2026-03-09
CASE_394,202400003,Charge Sheeted,"[""FIR_394""]",A raid near Station Road revealed illegal sand mining activity being carried out by the accused without valid permits.,Illegal Sand Mining,2024-02-25
CASE_395,202400004,Pending Trial,"[""FIR_395""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2024-08-15
CASE_396,202400001,Charge Sheeted,"[""FIR_396""]","A group gathered near College Road in violation of prohibitory orders, leading to a law and order situation.",Unlawful Assembly,2024-10-28
CASE_397,202400001,Under Investigation,"[""FIR_397""]","A group of persons allegedly assembled unlawfully near Ring Road and engaged in rioting, causing damage to property.",Rioting,2024-10-10
CASE_398,202400001,Pending Trial,"[""FIR_398""]","A group of armed persons robbed the complainant's shop at Temple Street, decamping with cash and goods worth Rs 233,000.",Dacoity,2024-12-01
CASE_399,202500001,Charge Sheeted,"[""FIR_399""]","A police patrol near Gandhi Nagar intercepted a vehicle and recovered narcotic substances weighing 4.9 kg, suspected to be in transit for sale.",NDPS Trafficking,2025-04-27
CASE_400,202600001,Acquitted,"[""FIR_400""]","The complainant, a woman walking near New Extension, reported that two men on a motorcycle snatched her gold chain and sped away towards Ring Road.",Chain Snatching,2026-01-04
