CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
107,300300180202500001,202500001,2025-12-30,1,180,3,2,11,42,7,1,2025-12-25 00:00:00,2025-12-27 00:00:00,2025-12-29 00:00:00,16.869105,75.745239,The accused was found driving under the influence of alcohol near Main Bazaar and was apprehended by a police patrol.
108,300220165202400001,202400001,2024-12-21,166,165,3,2,2,9,3,37,2024-12-19 00:00:00,2024-12-20 00:00:00,2024-12-21 00:00:00,12.346402,76.640308,"Unknown persons broke into the complainant's premises at College Road at night and decamped with valuables worth Rs 72,000."
109,100200162202500001,202500001,2025-10-02,161,162,1,2,11,41,1,,2025-09-25 00:00:00,2025-09-27 00:00:00,2025-10-01 00:00:00,15.380316,76.123047,The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.
110,500130147202500001,202500001,2025-02-05,134,147,5,2,7,29,1,,2025-02-04 00:00:00,2025-02-06 00:00:00,2025-02-05 00:00:00,15.499398,75.050128,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.
111,100260176202600001,202600001,2026-06-21,120,176,1,2,4,17,2,1,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-06-18 00:00:00,13.288015,77.040373,Information was received regarding a minor being transported from Bus Stand Road allegedly for trafficking purposes; the child was rescued.
112,100050115202400001,202400001,2024-11-28,162,115,1,2,2,6,7,35,2024-11-22 00:00:00,2024-11-23 00:00:00,2024-11-24 00:00:00,13.042404,77.654305,"The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 199,000."
113,100050127202500002,202500002,2025-05-21,78,127,1,1,2,9,7,1,2025-05-21 00:00:00,2025-05-22 00:00:00,2025-05-21 00:00:00,12.922109,77.544894,"Unknown persons broke into the complainant's premises at New Extension at night and decamped with valuables worth Rs 159,000."
114,800050115202400001,202400001,2024-11-18,30,115,8,1,11,41,2,40,2024-11-14 00:00:00,2024-11-16 00:00:00,2024-11-16 00:00:00,12.945256,77.673531,The victim was hit by an unidentified vehicle near College Road and sustained injuries; the driver fled the scene.
115,100110143202600001,202600001,2026-01-29,97,143,1,2,8,33,1,,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-25 00:00:00,12.855352,74.889741,"A police patrol near Station Road intercepted a vehicle and recovered narcotic substances weighing 10.1 kg, suspected to be in transit for sale."
116,100050122202500002,202500002,2025-04-16,186,122,1,1,1,5,7,33,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-16 00:00:00,13.013075,77.563136,The victim sustained grievous injuries after being attacked with a wooden stick by her husband near MG Road over a financial transaction.
117,300050115202500001,202500001,2025-06-22,30,115,3,1,2,9,2,35,2025-06-17 00:00:00,2025-06-18 00:00:00,2025-06-19 00:00:00,13.001587,77.541858,"Unknown persons broke into the complainant's premises at Church Street at night and decamped with valuables worth Rs 97,000."
118,100050120202500005,202500005,2025-02-14,138,120,1,2,7,27,1,,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-10 00:00:00,13.006837,77.514196,"The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 408,000 from the complainant's account."
119,100050116202400003,202400003,2024-04-12,10,116,1,1,10,37,2,1,2024-04-05 00:00:00,2024-04-06 00:00:00,2024-04-10 00:00:00,13.07234,77.533795,"A group of persons allegedly assembled unlawfully near APMC Yard and engaged in rioting, causing damage to property."
120,200050128202400001,202400001,2024-04-24,43,128,2,2,2,9,2,1,2024-04-24 00:00:00,2024-04-24 00:00:00,2024-04-24 00:00:00,12.940027,77.500189,"Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 299,000."
121,200050115202400002,202400002,2024-02-19,83,115,2,2,1,1,3,36,2024-02-17 00:00:00,2024-02-17 00:00:00,2024-02-19 00:00:00,12.921159,77.657391,The victim Ramesh was fatally attacked with a knife by the accused near Gandhi Nagar. The motive is suspected to be past enmity.
122,100050116202600003,202600003,2026-04-28,10,116,1,2,1,2,1,,2026-04-25 00:00:00,2026-04-25 00:00:00,2026-04-26 00:00:00,13.096661,77.622536,The accused attacked Deepa with a knife near Ring Road following a quarrel over a family dispute. The victim was rushed to hospital with grievous injuries.
123,100160153202600001,202600001,2026-01-20,54,153,1,1,7,29,3,1,2026-01-20 00:00:00,2026-01-20 00:00:00,2026-01-20 00:00:00,14.848048,75.450855,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.
124,100280178202600001,202600001,2026-01-08,9,178,1,2,8,33,3,1,2026-01-03 00:00:00,2026-01-04 00:00:00,2026-01-04 00:00:00,14.82148,74.740419,"A police patrol near MG Road intercepted a vehicle and recovered narcotic substances weighing 11.1 kg, suspected to be in transit for sale."
125,100220170202400001,202400001,2024-02-23,114,170,1,2,11,41,3,37,2024-02-23 00:00:00,2024-02-24 00:00:00,2024-02-23 00:00:00,12.303213,76.612186,The victim was hit by an unidentified vehicle near Main Bazaar and sustained injuries; the driver fled the scene.
126,100050116202400004,202400004,2024-03-01,10,116,1,2,10,37,7,33,2024-02-28 00:00:00,2024-03-01 00:00:00,2024-03-01 00:00:00,13.038128,77.649205,"A group of persons allegedly assembled unlawfully near Temple Street and engaged in rioting, causing damage to property."
127,100090136202500001,202500001,2025-02-02,127,136,1,2,6,23,7,10,2025-02-01 00:00:00,2025-02-03 00:00:00,2025-02-02 00:00:00,13.277068,75.723544,"The complainant paid an advance of Rs 170,000 to the accused for past enmity which was never delivered as promised."
128,100050128202400001,202400001,2024-01-16,43,128,1,2,10,38,1,,2024-01-10 00:00:00,2024-01-10 00:00:00,2024-01-10 00:00:00,13.060574,77.634144,"A group gathered near Ring Road in violation of prohibitory orders, leading to a law and order situation."
129,100100137202400001,202400001,2024-05-10,126,137,1,1,1,1,5,,2024-05-09 00:00:00,2024-05-11 00:00:00,2024-05-10 00:00:00,14.196791,76.347776,"The complainant reported that Manoj was found dead with injuries near APMC Yard, allegedly assaulted by his neighbour following a dispute over a business partnership."
130,200220166202400001,202400001,2024-07-13,142,166,2,1,1,2,5,,2024-07-13 00:00:00,2024-07-13 00:00:00,2024-07-13 00:00:00,12.344331,76.676265,The accused attacked Anitha with a knife near APMC Yard following a quarrel over land boundary issues. The victim was rushed to hospital with grievous injuries.
131,100220165202500003,202500003,2025-12-31,139,165,1,2,3,14,1,,2025-12-24 00:00:00,2025-12-24 00:00:00,2025-12-30 00:00:00,12.324248,76.692308,The complainant stated that the accused has been following and contacting her repeatedly near MG Road despite objection.
132,300280178202500001,202500001,2025-11-09,39,178,3,2,1,2,2,29,2025-11-03 00:00:00,2025-11-03 00:00:00,2025-11-03 00:00:00,14.792585,74.701258,The accused attacked Anitha with a sharp weapon near Ring Road following a quarrel over land boundary issues. The victim was rushed to hospital with grievous injuries.
133,100110140202500001,202500001,2025-12-27,29,140,1,1,2,55,3,1,2025-12-20 00:00:00,2025-12-21 00:00:00,2025-12-23 00:00:00,12.895708,74.851466,"The complainant, a woman walking near Church Street, reported that two men on a motorcycle snatched her gold chain and sped away towards MG Road."
134,200050123202500002,202500002,2025-12-03,5,123,2,2,12,45,1,,2025-12-01 00:00:00,2025-12-03 00:00:00,2025-12-03 00:00:00,12.903131,77.591697,The complainant reported an incident related to environmental offences occurring near Railway Station Road. Investigation is underway to ascertain further facts.
135,100050115202400002,202400002,2024-06-09,30,115,1,2,3,12,5,,2024-06-06 00:00:00,2024-06-06 00:00:00,2024-06-09 00:00:00,13.035824,77.502522,The complainant alleged repeated physical and mental harassment by her husband over dowry-related demands at their residence in Railway Station Road.
136,100050128202400002,202400002,2024-01-17,197,128,1,2,3,12,9,,2024-01-11 00:00:00,2024-01-11 00:00:00,2024-01-13 00:00:00,13.033734,77.504591,The complainant alleged repeated physical and mental harassment by his neighbour over dowry-related demands at their residence in Gandhi Nagar.
137,100020105202400001,202400001,2024-08-01,182,105,1,2,1,2,2,3,2024-07-30 00:00:00,2024-07-30 00:00:00,2024-08-01 00:00:00,15.10013,76.910741,The accused attacked Kavya with a iron rod near Temple Street following a quarrel over a family dispute. The victim was rushed to hospital with grievous injuries.
138,100050126202600002,202600002,2026-07-12,42,126,1,1,1,1,5,,2026-07-10 00:00:00,2026-07-10 00:00:00,2026-07-11 00:00:00,13.005877,77.669763,"The complainant reported that Kavya was found dead with injuries near Railway Station Road, allegedly assaulted by his neighbour following a dispute over a business partnership."
139,300040112202400001,202400001,2024-09-25,55,112,3,2,6,25,7,1,2024-09-21 00:00:00,2024-09-23 00:00:00,2024-09-23 00:00:00,13.20548,77.579373,The complainant reported that the accused forged signatures on documents related to a financial transaction to gain wrongful benefit.
140,100300180202400001,202400001,2024-12-28,1,180,1,2,3,12,5,,2024-12-23 00:00:00,2024-12-24 00:00:00,2024-12-27 00:00:00,16.785308,75.676708,The complainant alleged repeated physical and mental harassment by her husband over dowry-related demands at their residence in MG Road.
141,400040113202500001,202500001,2025-06-11,176,113,4,2,7,29,1,,2025-06-09 00:00:00,2025-06-10 00:00:00,2025-06-10 00:00:00,13.261116,77.559313,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.
142,300210164202400001,202400001,2024-10-28,23,164,3,2,2,6,7,1,2024-10-28 00:00:00,2024-10-28 00:00:00,2024-10-28 00:00:00,12.547075,76.872693,"The complainant reported that unknown persons broke into their house at Ring Road and stole gold jewellery worth Rs 103,000 and cash. The incident occurred while the family was away."
143,300140150202400001,202400001,2024-04-11,22,150,3,1,1,1,1,,2024-04-09 00:00:00,2024-04-10 00:00:00,2024-04-11 00:00:00,15.432679,75.608419,The victim Kavya was fatally attacked with a wooden stick by the accused near College Road. The motive is suspected to be past enmity.
144,100050128202400003,202400003,2024-04-06,197,128,1,2,1,3,1,,2024-04-06 00:00:00,2024-04-06 00:00:00,2024-04-06 00:00:00,12.977047,77.643402,"The complainant reported that Manoj died following an altercation with her husband near Station Road, suspected to involve past enmity."
145,100110141202400001,202400001,2024-10-16,79,141,1,2,11,42,1,,2024-10-10 00:00:00,2024-10-10 00:00:00,2024-10-10 00:00:00,12.915351,74.821579,The accused was found driving under the influence of alcohol near Main Bazaar and was apprehended by a police patrol.
146,300260176202400001,202400001,2024-04-14,52,176,3,3,8,33,7,27,2024-04-10 00:00:00,2024-04-12 00:00:00,2024-04-13 00:00:00,13.335552,77.080666,"A police patrol near Main Bazaar intercepted a vehicle and recovered narcotic substances weighing 1.5 kg, suspected to be in transit for sale."
147,300050117202400001,202400001,2024-04-11,185,117,3,2,2,55,5,,2024-04-06 00:00:00,2024-04-06 00:00:00,2024-04-10 00:00:00,13.073982,77.637154,"The complainant, a woman walking near Ring Road, reported that two men on a motorcycle snatched her gold chain and sped away towards Old Town."
148,100100137202600001,202600001,2026-06-30,126,137,1,2,2,9,6,,2026-06-25 00:00:00,2026-06-27 00:00:00,2026-06-30 00:00:00,14.28207,76.414249,"Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 34,000."
149,200120145202400001,202400001,2024-07-20,62,145,2,1,6,25,2,13,2024-07-19 00:00:00,2024-07-21 00:00:00,2024-07-20 00:00:00,14.463603,75.944019,The complainant reported that the accused forged signatures on documents related to an extramarital affair suspicion to gain wrongful benefit.
150,100030108202500001,202500001,2025-02-16,85,108,1,2,1,2,2,4,2025-02-12 00:00:00,2025-02-14 00:00:00,2025-02-16 00:00:00,15.860405,74.528871,The accused attacked Nagaraj with a iron rod near Bus Stand Road following a quarrel over a financial transaction. The victim was rushed to hospital with grievous injuries.
151,100050116202600004,202600004,2026-03-22,10,116,1,2,3,12,9,,2026-03-20 00:00:00,2026-03-22 00:00:00,2026-03-22 00:00:00,13.036523,77.63193,The complainant alleged repeated physical and mental harassment by his neighbour over dowry-related demands at their residence in New Extension.
152,100220171202600001,202600001,2026-06-08,53,171,1,2,11,41,6,,2026-06-03 00:00:00,2026-06-04 00:00:00,2026-06-07 00:00:00,12.305512,76.622714,The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.
153,300220165202400002,202400002,2024-01-29,139,165,3,2,2,7,2,1,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-26 00:00:00,12.343657,76.65426,The complainant was robbed of cash and a mobile phone by unidentified persons near Railway Station Road at knife-point.
154,100050116202500003,202500003,2025-02-04,10,116,1,1,1,1,1,,2025-01-28 00:00:00,2025-01-30 00:00:00,2025-01-30 00:00:00,13.071981,77.628015,The victim Kavya was fatally attacked with a wooden stick by the accused near Temple Street. The motive is suspected to be unpaid loan.
155,100220171202500001,202500001,2025-01-07,53,171,1,2,7,31,1,,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00,12.327138,76.692761,"The complainant clicked a fraudulent link received via SMS and lost Rs 382,000 from their bank account."
156,100050116202500004,202500004,2025-11-06,10,116,1,2,3,13,1,,2025-11-06 00:00:00,2025-11-06 00:00:00,2025-11-06 00:00:00,13.076622,77.698488,The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Old Town.
157,300260176202400002,202400002,2024-11-05,52,176,3,2,3,15,1,,2024-10-30 00:00:00,2024-11-01 00:00:00,2024-11-02 00:00:00,13.282106,77.117911,"The victim was attacked with a corrosive substance by the accused near APMC Yard, sustaining burn injuries."
158,100260176202400002,202400002,2024-01-16,120,176,1,2,7,28,1,,2024-01-10 00:00:00,2024-01-10 00:00:00,2024-01-14 00:00:00,13.352498,77.068054,"The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 382,000."
159,100010102202400001,202400001,2024-04-13,90,102,1,3,11,40,7,2,2024-04-12 00:00:00,2024-04-14 00:00:00,2024-04-13 00:00:00,16.152705,75.740602,"The complainant reported that the accused was driving a vehicle rashly near Railway Station Road, endangering pedestrians."
160,100220165202500004,202500004,2025-10-08,166,165,1,2,2,10,1,,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,12.315159,76.616193,The complainant reported that their motorcycle parked near Market area was stolen overnight. The vehicle was not recovered at the time of registration.
161,100210164202500001,202500001,2025-04-12,23,164,1,2,7,30,6,,2025-04-05 00:00:00,2025-04-07 00:00:00,2025-04-11 00:00:00,12.520021,76.86795,The complainant's confidential business data was allegedly copied and misused by a former employee.
162,300030106202600001,202600001,2026-05-03,156,106,3,2,4,16,1,,2026-04-28 00:00:00,2026-04-30 00:00:00,2026-05-03 00:00:00,15.861975,74.515647,The complainant reported that the minor victim was subjected to abuse by a former business partner at College Road.
163,100180157202500002,202500002,2025-01-14,63,157,1,1,7,28,1,,2025-01-09 00:00:00,2025-01-10 00:00:00,2025-01-13 00:00:00,12.392962,75.732576,"The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 74,000."
164,100070132202400001,202400001,2024-11-17,66,132,1,1,2,8,4,1,2024-11-17 00:00:00,2024-11-18 00:00:00,2024-11-17 00:00:00,11.879227,76.962795,"A group of armed persons robbed the complainant's shop at Bus Stand Road, decamping with cash and goods worth Rs 174,000."
165,100050121202600001,202600001,2026-01-23,33,121,1,2,8,32,6,,2026-01-21 00:00:00,2026-01-22 00:00:00,2026-01-22 00:00:00,13.04961,77.671721,Police intercepted the accused near Old Town and recovered 1.1 kg of ganja from their possession.
166,100050114202500001,202500001,2025-02-24,122,114,1,2,8,34,1,,2025-02-22 00:00:00,2025-02-22 00:00:00,2025-02-24 00:00:00,13.034497,77.693911,The accused was apprehended near College Road while allegedly peddling narcotic substances to local youth.
167,100310181202600001,202600001,2026-06-10,150,181,1,2,2,7,5,,2026-06-10 00:00:00,2026-06-11 00:00:00,2026-06-10 00:00:00,16.803982,77.145679,The complainant was robbed of cash and a mobile phone by unidentified persons near APMC Yard at knife-point.
168,100020104202500001,202500001,2025-09-14,159,104,1,2,2,9,1,,2025-09-14 00:00:00,2025-09-15 00:00:00,2025-09-14 00:00:00,15.164668,76.882686,"Unknown persons broke into the complainant's premises at Railway Station Road at night and decamped with valuables worth Rs 207,000."
169,100050118202600001,202600001,2026-03-23,71,118,1,2,7,27,10,,2026-03-19 00:00:00,2026-03-21 00:00:00,2026-03-22 00:00:00,13.014722,77.609205,"The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 234,000 from the complainant's account."
170,100050117202500003,202500003,2025-02-22,185,117,1,2,8,32,1,,2025-02-16 00:00:00,2025-02-17 00:00:00,2025-02-17 00:00:00,13.074253,77.58836,Police intercepted the accused near Railway Station Road and recovered 3.9 kg of ganja from their possession.
171,100050116202400005,202400005,2024-09-26,10,116,1,3,11,40,6,,2024-09-20 00:00:00,2024-09-22 00:00:00,2024-09-24 00:00:00,13.028614,77.563539,"The complainant reported that the accused was driving a vehicle rashly near Church Street, endangering pedestrians."
172,100280178202600002,202600002,2026-04-24,9,178,1,2,4,17,1,,2026-04-17 00:00:00,2026-04-17 00:00:00,2026-04-18 00:00:00,14.832167,74.747188,Information was received regarding a minor being transported from New Extension allegedly for trafficking purposes; the child was rescued.
173,100090136202600002,202600002,2026-02-27,165,136,1,1,6,25,1,,2026-02-20 00:00:00,2026-02-20 00:00:00,2026-02-24 00:00:00,13.369513,75.736539,The complainant reported that the accused forged signatures on documents related to unpaid loan to gain wrongful benefit.
174,100120146202500002,202500002,2025-04-11,200,146,1,2,2,9,2,1,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-11 00:00:00,14.448617,75.880129,"Unknown persons broke into the complainant's premises at Railway Station Road at night and decamped with valuables worth Rs 65,000."
175,100060129202400002,202400002,2024-03-12,113,129,1,1,10,38,2,7,2024-03-05 00:00:00,2024-03-07 00:00:00,2024-03-09 00:00:00,17.887663,77.46344,"A group gathered near Temple Street in violation of prohibitory orders, leading to a law and order situation."
176,100230173202500001,202500001,2025-12-30,47,173,1,2,2,10,1,,2025-12-29 00:00:00,2025-12-30 00:00:00,2025-12-30 00:00:00,16.175156,77.30851,The complainant reported that their scooter parked near Ring Road was stolen overnight. The vehicle was not recovered at the time of registration.
177,400050115202600001,202600001,2026-01-03,83,115,4,2,3,13,1,,2025-12-28 00:00:00,2025-12-29 00:00:00,2026-01-03 00:00:00,12.902614,77.540546,The complainant reported that her husband made unwelcome advances and passed lewd remarks towards her near Bus Stand Road.
178,100120145202400001,202400001,2024-08-05,137,145,1,2,15,52,1,,2024-08-04 00:00:00,2024-08-06 00:00:00,2024-08-05 00:00:00,14.461728,75.911338,The complainant alleged being threatened with dire consequences by her husband over a dispute regarding an extramarital affair suspicion.
179,100220171202400001,202400001,2024-02-26,80,171,1,1,2,7,1,,2024-02-25 00:00:00,2024-02-25 00:00:00,2024-02-26 00:00:00,12.328355,76.609607,The complainant was robbed of cash and a mobile phone by unidentified persons near Main Bazaar at knife-point.
180,300160153202500001,202500001,2025-10-29,169,153,3,2,11,40,3,17,2025-10-23 00:00:00,2025-10-24 00:00:00,2025-10-26 00:00:00,14.847064,75.459108,"The complainant reported that the accused was driving a vehicle rashly near Bus Stand Road, endangering pedestrians."
181,800220165202400001,202400001,2024-08-16,139,165,8,1,6,26,3,37,2024-08-13 00:00:00,2024-08-15 00:00:00,2024-08-15 00:00:00,12.346576,76.610616,"The complainant's bank account was debited for Rs 434,000 through fraudulent means allegedly involving the accused."
182,400050115202500001,202500001,2025-12-09,162,115,4,1,7,28,2,1,2025-12-06 00:00:00,2025-12-07 00:00:00,2025-12-08 00:00:00,12.900714,77.544545,"The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 186,000."
183,200220165202400002,202400002,2024-01-30,139,165,2,1,3,14,1,,2024-01-27 00:00:00,2024-01-28 00:00:00,2024-01-30 00:00:00,12.319122,76.668045,The complainant stated that the accused has been following and contacting her repeatedly near Old Town despite objection.
184,100110139202500001,202500001,2025-04-05,88,139,1,1,3,12,7,39,2025-04-05 00:00:00,2025-04-07 00:00:00,2025-04-05 00:00:00,12.866802,74.8221,The complainant alleged repeated physical and mental harassment by his neighbour over dowry-related demands at their residence in Church Street.
185,100030106202600001,202600001,2026-02-09,6,106,1,2,1,4,5,,2026-02-05 00:00:00,2026-02-07 00:00:00,2026-02-07 00:00:00,15.880777,74.509196,"The complainant stated that his neighbour assaulted them near MG Road following an argument over a business partnership, causing hurt."
186,100160154202400001,202400001,2024-10-16,92,154,1,2,9,36,9,,2024-10-13 00:00:00,2024-10-14 00:00:00,2024-10-16 00:00:00,14.787956,75.380487,The complainant reported an incident related to arms act offences occurring near College Road. Investigation is underway to ascertain further facts.
187,300260176202600001,202600001,2026-01-06,52,176,3,1,2,8,7,1,2025-12-31 00:00:00,2026-01-01 00:00:00,2026-01-06 00:00:00,13.313095,77.132406,"A group of armed persons robbed the complainant's shop at Railway Station Road, decamping with cash and goods worth Rs 165,000."
188,100050116202400006,202400006,2024-08-20,10,116,1,2,6,26,5,,2024-08-15 00:00:00,2024-08-15 00:00:00,2024-08-17 00:00:00,13.065207,77.696665,"The complainant's bank account was debited for Rs 295,000 through fraudulent means allegedly involving the accused."
189,200050127202400001,202400001,2024-06-21,78,127,2,2,7,29,4,34,2024-06-14 00:00:00,2024-06-14 00:00:00,2024-06-16 00:00:00,12.953972,77.597441,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.
190,100050115202400003,202400003,2024-03-29,162,115,1,2,2,55,5,,2024-03-29 00:00:00,2024-03-30 00:00:00,2024-03-29 00:00:00,12.93846,77.654547,"The complainant, a woman walking near APMC Yard, reported that two men on a motorcycle snatched her gold chain and sped away towards Temple Street."
191,200050122202400001,202400001,2024-12-13,76,122,2,2,8,32,3,34,2024-12-13 00:00:00,2024-12-15 00:00:00,2024-12-13 00:00:00,12.958759,77.540038,Police intercepted the accused near New Extension and recovered 6.4 kg of ganja from their possession.
192,100210163202400001,202400001,2024-08-01,24,163,1,2,3,12,1,,2024-07-27 00:00:00,2024-07-27 00:00:00,2024-07-28 00:00:00,12.499832,76.887933,The complainant alleged repeated physical and mental harassment by a known acquaintance over dowry-related demands at their residence in New Extension.
193,100170155202500001,202500001,2025-11-03,1,155,1,2,15,52,7,1,2025-11-01 00:00:00,2025-11-03 00:00:00,2025-11-03 00:00:00,17.289176,76.884741,The complainant alleged being threatened with dire consequences by her husband over a dispute regarding a family dispute.
194,100050116202400007,202400007,2024-03-27,10,116,1,3,3,13,2,35,2024-03-26 00:00:00,2024-03-28 00:00:00,2024-03-27 00:00:00,13.072239,77.541903,The complainant reported that a known acquaintance made unwelcome advances and passed lewd remarks towards her near New Extension.
195,100220165202600001,202600001,2026-01-30,139,165,1,2,6,25,1,,2026-01-25 00:00:00,2026-01-25 00:00:00,2026-01-28 00:00:00,12.347845,76.636085,The complainant reported that the accused forged signatures on documents related to unpaid loan to gain wrongful benefit.
196,100130147202500001,202500001,2025-06-14,116,147,1,2,5,22,1,,2025-06-08 00:00:00,2025-06-10 00:00:00,2025-06-10 00:00:00,15.465493,75.046103,The complainant reported an incident related to crimes against scs/sts occurring near Ring Road. Investigation is underway to ascertain further facts.
197,100090136202400002,202400002,2024-03-28,127,136,1,2,2,55,2,10,2024-03-23 00:00:00,2024-03-24 00:00:00,2024-03-28 00:00:00,13.276171,75.747041,"The complainant, a woman walking near Railway Station Road, reported that two men on a motorcycle snatched her gold chain and sped away towards Church Street."
198,300300180202500002,202500002,2025-10-31,1,180,3,2,6,23,1,,2025-10-29 00:00:00,2025-10-30 00:00:00,2025-10-30 00:00:00,16.878685,75.763944,"The complainant paid an advance of Rs 440,000 to the accused for unpaid loan which was never delivered as promised."
199,100230173202600001,202600001,2026-04-06,47,173,1,1,10,38,7,1,2026-04-05 00:00:00,2026-04-05 00:00:00,2026-04-05 00:00:00,16.23059,77.336085,"A group gathered near New Extension in violation of prohibitory orders, leading to a law and order situation."
200,100220172202400001,202400001,2024-03-14,114,172,1,2,6,26,7,37,2024-03-08 00:00:00,2024-03-10 00:00:00,2024-03-14 00:00:00,12.341476,76.69394,"The complainant's bank account was debited for Rs 370,000 through fraudulent means allegedly involving the accused."
201,100050117202400003,202400003,2024-01-14,61,117,1,2,11,41,2,40,2024-01-09 00:00:00,2024-01-10 00:00:00,2024-01-11 00:00:00,12.931261,77.652875,The victim was hit by an unidentified vehicle near Main Bazaar and sustained injuries; the driver fled the scene.
202,100220165202500005,202500005,2025-10-28,139,165,1,2,2,10,2,23,2025-10-24 00:00:00,2025-10-25 00:00:00,2025-10-26 00:00:00,12.314603,76.686277,The complainant reported that their motorcycle parked near Gandhi Nagar was stolen overnight. The vehicle was not recovered at the time of registration.
203,100260176202500003,202500003,2025-04-04,52,176,1,1,2,9,2,1,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-04 00:00:00,13.380418,77.042007,"Unknown persons broke into the complainant's premises at APMC Yard at night and decamped with valuables worth Rs 126,000."
204,300050117202500002,202500002,2025-11-26,133,117,3,2,6,25,1,,2025-11-24 00:00:00,2025-11-26 00:00:00,2025-11-26 00:00:00,12.930677,77.610137,The complainant reported that the accused forged signatures on documents related to a property dispute to gain wrongful benefit.
205,100200161202400001,202400001,2024-07-09,19,161,1,2,2,6,1,,2024-07-06 00:00:00,2024-07-08 00:00:00,2024-07-09 00:00:00,15.380523,76.193603,"The complainant reported that unknown persons broke into their house at Ring Road and stole gold jewellery worth Rs 130,000 and cash. The incident occurred while the family was away."
206,400160153202600001,202600001,2026-06-08,169,153,4,2,9,36,1,,2026-06-01 00:00:00,2026-06-03 00:00:00,2026-06-06 00:00:00,14.762941,75.439355,The complainant reported an incident related to arms act offences occurring near Bus Stand Road. Investigation is underway to ascertain further facts.
207,100100138202400001,202400001,2024-09-17,151,138,1,3,3,15,5,,2024-09-16 00:00:00,2024-09-16 00:00:00,2024-09-17 00:00:00,14.28739,76.341594,"The victim was attacked with a corrosive substance by the accused near Railway Station Road, sustaining burn injuries."
208,100050118202400001,202400001,2024-06-15,71,118,1,2,6,25,1,,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-13 00:00:00,12.909707,77.515799,The complainant reported that the accused forged signatures on documents related to a financial transaction to gain wrongful benefit.
209,300280178202500002,202500002,2025-11-22,39,178,3,2,8,33,7,1,2025-11-16 00:00:00,2025-11-16 00:00:00,2025-11-16 00:00:00,14.775971,74.692239,"A police patrol near College Road intercepted a vehicle and recovered narcotic substances weighing 10.1 kg, suspected to be in transit for sale."
210,200060130202600002,202600002,2026-06-06,154,130,2,2,2,7,1,,2026-06-02 00:00:00,2026-06-03 00:00:00,2026-06-04 00:00:00,17.901045,77.572619,The complainant was robbed of cash and a mobile phone by unidentified persons near MG Road at knife-point.
211,100220167202600001,202600001,2026-04-14,38,167,1,2,8,32,1,,2026-04-10 00:00:00,2026-04-12 00:00:00,2026-04-14 00:00:00,12.340531,76.63641,Police intercepted the accused near MG Road and recovered 2.7 kg of ganja from their possession.
212,100260176202400003,202400003,2024-06-09,52,176,1,2,11,41,2,1,2024-06-09 00:00:00,2024-06-11 00:00:00,2024-06-09 00:00:00,13.316638,77.047008,The victim was hit by an unidentified vehicle near Ring Road and sustained injuries; the driver fled the scene.
213,100030107202400001,202400001,2024-09-17,40,107,1,2,7,29,2,4,2024-09-16 00:00:00,2024-09-16 00:00:00,2024-09-17 00:00:00,15.831661,74.583252,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.
214,300230173202400001,202400001,2024-10-12,47,173,3,2,1,5,7,24,2024-10-12 00:00:00,2024-10-12 00:00:00,2024-10-12 00:00:00,16.193244,77.382782,The victim sustained grievous injuries after being attacked with a wooden stick by her in-laws near Market area over past enmity.
